SampleID,Method,Aphelenchidae,Aphelenchoididae,Cephalobidae,Monhysteridae,Mononchidae,Panagrolaimidae,Rhabditidae,Tylenchidae
A16,Nematode-extracted DNA,0.002569813,0.008309063,0.127634059,0.008052082,0,0.005482268,0.011221518,0
A17,Nematode-extracted DNA,0.010707555,0.012163783,0.324824396,0.050282679,0.010964537,0.042144937,0.02715436,0.000856604
A18,Nematode-extracted DNA,0.002912455,0.003512078,0.055336646,0.089943464,0.026811718,0.174747302,0.068956656,0.00591057
B1,eDNA metabarcoding,0.019471488,0.022253129,0.087621697,0.083449235,0,0.020862309,,0.029207232
B2,eDNA metabarcoding,0.015299026,0.018080668,0.055632823,0.077885953,0,0,0,0.233657858
B3,eDNA metabarcoding,0,0.044506259,0.040333797,0.207232267,0,0,0.002781641,0.191933241
B4,eDNA metabarcoding,0.137691238,0.013908206,0.130737135,0.175243394,0.012517385,0,0.005563282,0.001390821
B5,eDNA metabarcoding,0.009735744,0.012517385,0.11821975,0.073713491,0,0.077885953,0.084840056,0
B6,eDNA metabarcoding,0.02364395,0.013908206,0.062586926,0.029207232,0.079276773,0,0,0.0472879
B7,eDNA metabarcoding,0.019471488,0.005563282,0.0472879,0.235048679,0,0,0,0.058414465
B8,eDNA metabarcoding,0.009735744,0.012517385,0.04867872,0.450625869,0,0.054242003,0.041724618,0.002781641
B9,eDNA metabarcoding,0,0.005563282,0.091794159,0.23783032,0,0,0.001390821,0
B10,eDNA metabarcoding,0.031988873,0.016689847,0.065368567,0.197496523,0,0.005563282,0,0.022253129
B11,eDNA metabarcoding,0.005563282,0.016689847,0.100139082,0.201668985,0,0.005563282,0.006954103,0
B12,eDNA metabarcoding,0,0.025034771,0.087621697,0.289290682,0,0,0,
B13,eDNA metabarcoding,0.100139082,0,0.154381085,0.16689847,0,0.030598053,0.148817803,0
B14,eDNA metabarcoding,0.009735744,0.018080668,0.079276773,0.068150209,0,0.004172462,0.011126565,0.004172462
B15,eDNA metabarcoding,0.040333797,0.004172462,0.158553547,0.229485396,0.013908206,0,0.02364395,0.002781641
B16,eDNA metabarcoding,0.02364395,0.011126565,0.037552156,0.201668985,0,0.011126565,0.020862309,0.001390821
B17,eDNA metabarcoding,0,0.009735744,0.09596662,0.114047288,0,0.041724618,0.091794159,0.097357441
B18,eDNA metabarcoding,0.006954103,0,0.073713491,0.253129346,0,0.006954103,0.079276773,0.031988873
C1,Morphological identification,0.057692308,0.08974359,0.519230769,0.006410256,0.019230769,0,,0.025641026
C2,Morphological identification,0.025477707,0.171974522,0.267515924,0.01910828,0.006369427,0.012738854,0.063694268,0.159235669
C3,Morphological identification,0.021276596,0.106382979,0.361702128,0.014184397,0,0,0.106382979,0.184397163
C4,Morphological identification,0.064,0.088,0.628,0.008,0,0.024,0.036,0.036
C5,Morphological identification,0.024590164,0.077868852,0.43442623,0.016393443,0.008196721,0.18442623,0.094262295,0.028688525
C6,Morphological identification,0.024,0.076,0.32,0,0.104,0.016,0.092,0.08
C7,Morphological identification,0,0.027027027,0.094594595,0.081081081,0.013513514,0.027027027,0.027027027,0.216216216
C8,Morphological identification,0,0.020547945,0.226027397,0.109589041,0.01369863,0.01369863,0.075342466,0.082191781
C9,Morphological identification,0.008,0.172,0.22,0.016,0,0.028,0.036,0.016
C10,Morphological identification,0.02,0.084,0.172,0.004,0,0.12,0.004,0.028
C11,Morphological identification,0.012,0.04,0.14,0.032,0,0.056,0.012,0.028
C12,Morphological identification,0.022099448,0.127071823,0.182320442,0.044198895,0,0.060773481,0.016574586,
C13,Morphological identification,0.052,0.044,0.324,0.008,0.004,0.116,0.016,0.016
C14,Morphological identification,0.008,0.072,0.228,0,0.024,0.052,0.06,0.004
C15,Morphological identification,0.016,0.084,0.528,0.008,0,0.056,0.032,0.012
C16,Morphological identification,0.063829787,0.070921986,0.120567376,0.063829787,0,0.063829787,0.070921986,0.092198582
C17,Morphological identification,0.08490566,0.056603774,0.330188679,0.028301887,0,0,0.179245283,0.094339623
C18,Morphological identification,0.012820513,0.038461538,0.102564103,0.256410256,0.012820513,0.038461538,0.051282051,0.128205128
D1,Mass proportion,0.025936077,0.05673816,0.29420427,0.002539034,0.052452701,0,,0.07019999
D2,Mass proportion,0.0092557,0.04223853,0.101569117,0.005549928,0.065740103,0.006084527,0.087687719,0.272851962
D3,Mass proportion,0.01108482,0.02571159,0.168998205,0.005404814,0,0,0.134404608,0.204915567
D4,Mass proportion,0.017850168,0.030641335,0.345981829,0.003593448,0,0.0155398,0.053949463,0.006812171
D5,Mass proportion,0.012519549,0.036736583,0.28596692,0.011769869,0.07527755,0.196094825,0.081432066,0.010730804
D6,Mass proportion,0.008422081,0.016122091,0.09365594,0,0.355416474,0.00837412,0.070164189,0.023930666
D7,Mass proportion,0,0.002901268,0.010529364,0.011463526,0.019816909,0.00606736,0.006081922,0.130415319
D8,Mass proportion,0,0.002769037,0.153236742,0.032034852,0.041135088,0.006486878,0.064256049,0.04011399
D9,Mass proportion,0.001906769,0.098512212,0.14940996,0.016769356,0,0.029884051,0.064171898,0.002950662
D10,Mass proportion,0.02628318,0.055971287,0.153198128,0.020431233,0,0.151181371,0.013357799,0.016438511
D11,Mass proportion,0.006479161,0.024204075,0.099560231,0.013712157,0,0.048197523,0.004065869,0.026796212
D12,Mass proportion,0.002376607,0.024972162,0.041546865,0.010174487,0,0.024251951,0.011436096,
D13,Mass proportion,0.017427032,0.018782355,0.165768086,0.001574562,0.027070179,0.111623856,0.025915368,0.014198856
D14,Mass proportion,0.003859762,0.024140516,0.09869669,0,0.108945797,0.018904305,0.137171387,0.000452163
D15,Mass proportion,0.007488044,0.035209169,0.28814516,0.004998957,0,0.02324649,0.015662418,0.005809465
D16,Mass proportion,0.019455006,0.028244844,0.062851978,0.032115092,0,0.045300959,0.074135208,0.042998722
D17,Mass proportion,0.046835023,0.033467214,0.301607481,0.055843778,0,0,0.195923822,0.054218761
D18,Mass proportion,0.001716862,0.00435441,0.054821275,0.139953514,0.053560353,0.012813417,0.022899753,0.057723931
