"Family","Pair","Test","Ref","Mean","Diff"
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0174694495,-0.006156991
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0946517045,-0.154696591
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.045640569,-0.076718862
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.024882645,-0.03023471
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.066148555,-0.121846536
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.02204285,-0.0439143
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0551022785,-0.033795443
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0436275485,-0.080744903
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0396155245,-0.062612923
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0343837785,-0.044439991
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.020986808,-0.03494946
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.3451045055,-0.348252527
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.185154227,-0.164723394
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.286299068,-0.15080612
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.475041631,-0.305916738
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.322404138,-0.224044184
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.2001747475,-0.239650505
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0841312875,-0.020926615
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.158627884,-0.134799026
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.2231146135,0.006229227
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.202069899,0.060139798
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1679955455,0.055991091
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1501802655,-0.064280353
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.3186729485,-0.010654103
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1792304265,-0.097539147
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.427911256,-0.200177488
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1241007175,0.00706668299999999
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.3275065375,-0.00536428299999997
"Cephalobidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0789503745,-0.047227457
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.005303809,-0.002212894
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0152933895,-0.007629781
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.014544657,0.000720520000000001
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.008882645,0.00176529
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0126510645,-0.007484757
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0,0
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0524045115,-0.057353139
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0625467905,-0.094084501
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0253462395,0.018692479
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0059403805,0.003880761
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0217392495,-0.020521501
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0248405815,-0.038716627
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.009610759,0.003221518
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0,0
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0052849065,-0.005430187
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0359409345,-0.055777705
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.039292283,0.021980792
"Monhysteridae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.17317686,-0.166466792
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0096153845,-0.019230769
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.037234739,0.061730624
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.023813603,0.047627206
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0,0
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0403327275,0.064272013
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.143314031,0.078628062
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1006834315,0.174339835
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.066126341,0.104855422
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.00972246,0.01944492
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0,0
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0,0
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0,0
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.012450574,0.016901148
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.039497002,0.030994004
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0063388725,0.012677745
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0,0
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0054822685,0.010964537
"Mononchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0198161155,0.013991205
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.042102107,0.084204214
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0085537685,-0.008370171
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0011135855,0.002227171
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.029217749,0.010435498
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.206569805,0.04428715
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.01382491,-0.00435018
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.021137293,-0.011779468
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.030277446,0.033157632
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0163984925,-0.023203015
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0972622925,-0.045475415
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.040549255,-0.03090149
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.056084873,-0.009377216
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1294408085,0.026881617
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.07444098,0.04488196
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.062264177,0.012528354
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0346560275,-0.058347519
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0210724685,0.042144937
"Panagrolaimidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.10660442,0.136285764
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.032189776,-0.063008984
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0539196035,-0.104926751
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.022240192,-0.027519616
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0874343855,-0.013655819
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0466852835,-0.090629433
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0162546475,-0.021544759
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.040540858,-0.069603216
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.018599623,-0.034800754
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0077392495,0.007478499
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.007584718,-0.008830564
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0099148415,-0.013319489
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.046590029,0.061180058
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0312420765,-0.057515847
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0219534005,-0.020093199
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.041071752,-0.059700468
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1031998215,-0.152090923
"Rhabditidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0601193535,0.017674605
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0179173095,-0.015447433
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1239899435,-0.070491451
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0946827345,-0.179428857
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.018171321,-0.035657358
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0145584135,-0.028260223
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0404711325,-0.079057735
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.1183017005,-0.195829031
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0431945715,-0.077994419
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.008214151,-0.015571698
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0148994345,-0.026201131
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.015370567,-0.025258866
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.008,-0.016
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.002813774,-0.002372452
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.006599623,-0.010800754
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.046099291,-0.092198582
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0475981135,-0.093483019
"Tylenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.067057849,-0.122294558
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.028943711,0.006015268
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0065123795,-0.005486641
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.006698826,-0.008771988
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0123086715,-0.011082993
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.008529776,-0.007979546
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0049391545,-0.006965853
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.001199246,0.002398492
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0010279255,0.002055851
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0011247055,-0.001564127
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.013698383,-0.025169594
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0057237335,-0.001510855
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.00247321,0.000193206
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0136818215,-0.007490421
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.003900071,8.06180000000002e-05
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0057570425,-0.003462003
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0110124095,-0.016885193
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.028771289,-0.036127468
"Aphelenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0023146585,0.001195593
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0724413775,0.031406435
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.029599649,-0.025277762
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0150401365,-0.021342907
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.025685581,-0.009911508
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0206811235,-0.032110919
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.00896048,-0.014323222
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0023500685,-0.001102399
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0085799955,0.011621917
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0579078105,-0.081208803
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0316262125,-0.048690149
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0169846825,-0.014438785
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0150987245,-0.019746875
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0094340275,-0.018696655
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0311725365,0.014064041
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.019232133,-0.031954072
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0182769535,-0.019935781
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0228154985,-0.021303431
"Aphelenchoididae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.003933244,-0.000842332
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.232591256,-0.123226028
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.1021808235,0.00122341299999999
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.1899471065,0.041897803
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.3340325455,-0.023898567
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.248174483,-0.075584874
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0870027175,-0.013306445
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.042098672,0.063138616
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.1222325565,-0.062008371
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.1878195935,0.076819267
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.192668963,0.07894167
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.147775661,0.09643086
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.079793477,0.076493224
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.2395569915,0.147577811
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.1145787715,0.031764163
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.307983836,0.039677352
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0952430185,0.064782081
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.3132159385,0.023216915
"Cephalobidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0550789605,0.000515371000000001
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.003368198,0.001658328
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0085142135,0.005928571
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0101548655,0.009500103
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.006679369,0.006171842
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0103392775,-0.002861183
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0,0
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.017595734,0.012264416
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.023769696,-0.016530312
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0257309175,0.017923123
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.014155997,-0.012550472
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.012595328,-0.002233658
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0078283775,-0.004692219
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.00639804,0.009646956
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0,0
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.003784385,-0.002429144
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.020083587,-0.02406301
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0530632285,-0.005561099
"Monhysteridae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.114948489,-0.05001005
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0262263505,-0.052452701
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.066920077,0.002359948
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.023813603,0.047627206
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0,0
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.073873142,-0.00280881599999999
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.269022268,-0.172788412
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.103835129,0.16803644
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.07984457,0.077418964
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.00972246,0.01944492
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0,0
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0,0
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0,0
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0239856635,-0.006169031
